doc0: instruments; Archimandrite; Agathocles; anatomy; glutathione; Indic scripts; hydrogen ion; population pyramid; E-mail advertising; maximum transfer; John Philoponus; national average; crime rate; Southeast Asia; always respect; volleyball at; Pope Honorius; Summer Paralympics; body parts; below the national average; 
doc3023: insurance; Stewart; pottery; adenoma; pass-through; auto insurance; Better World Insurance; Stewart and Reid; business partner; common practice; potter's wheel; The proportion; typhoid fever; main sources; emigrated to Canada; increase the risk; The vessels; 10 children; October 1944; Novi Pazar; 
doc3024: practitioner; Zeno; tether; “Availability; electrodynamic; Aural Sculpture; television season; full-sib families; People's Movement; Easy Goer; kinetic energy; Claiborne Farm; Arthurs Creek; space plasma; office tower; barber shops; magnetic field; Jean-Thomas Taschereau; wrist of the opponent; Bold Ruler; 
doc3025: households; income; householder; median; household; median income; female householder; Census Bureau; Washington County Fairgrounds; husband present; couples living together; average household size; all households; children under; Selinsgrove Area; householder with no husband; someone living alone; average family size; households were made up of individuals; Arden Landfill; 
doc3026: co-operative; OneUnited; Bangladesh; Heisman; communities; OneUnited Bank; socio-economic development; Jazz Ensemble; Heisman Trophy; Channel 4's; certified platinum; social awareness; The Bank; Court dismissed; Diego Chargers; small business; every respect; products and services; The ensemble; integrated into; 
doc3027: Commissioners; Judges; Judicial; Halberstadt; Singapore; Judicial Commissioners; Judges and Judicial Commissioners; Judges of Appeal; Chief Justice; several branches; Prime Minister; his discretion; Jewish surname; High Court; appointed by the President; All members; February 22; A person; Supreme Court; – March; 
doc3028: Gopher; Winnie; Hussey; Grimm's; anthropomorphic; Winnie the Pooh; different levels; originally done; This technology; later editions; New Adventures; Michael Gough; military forces; fourth wall; fleshed out; bit further; In medieval; animated film; Its purpose; first published; 
doc3029: bustards; bee-eaters; aggressively; bustard's; kori; kori bustards; carmine bee-eaters; Virginia Commonwealth; Queensland Heritage Register; originally broadcast; Broadcasting Company; English musician; shortly thereafter; similar manner; regularly seen; booking office; television station; alternative rock; large quantity; close quarters; 
doc3030: Registered; Ingenescu; Streels; Historian; Outworlder; Registered Historian; Antigua and Barbuda; He expresses; single was never; Sam Gamgee; The township; Joint Chiefs; additional expense; Defence Committee; originally designed; tropical Africa; recent addition; mansion located; never released; after retiring; 
doc3031: submarines; Ājīvika; destroyer; philosophical; Spa-Francorchamps; Imperial Japanese; merchant ships; signed a free agent contract; free agent; Indianapolis Colts; Championship season; The Conservatory; then Principal; present location; Governor General; then Minister; small numbers; six orthodox; released after; highly regarded; 
doc3032: Charlie's; EUR/USD; Kamareddy; colouring; Hertzberg; school bonds; district headquarters; rights enjoyed; large population; they generally; state government; everyone else; light yellow; resting place; heal wounds; Pete Wilson; species name; November 2002; state capital; large areas; 
doc3033: antidepressant; PricewaterhouseCoopers; arbitrage; cooperative; Onimaru; purchasing cooperative; pre-race coverage; American forces; Kentucky Derby; Champagne-Ardenne region; twin sisters; NBC Sports Network; intelligence gathering; International College; businesses in this sector; overseas possessions; autonomous community; southwestern France; soil maps; municipality located; 
doc3034: Whitworth; detector; mortar; player; pilocarpine; Formation Soldiers; Gateway Pacific Terminal; tells the player; throne room; grid leak; grid current; The Treasurer; tonic pupil; black shoes; respiratory problems; M1 mortar; financial difficulties; Tai Po; more sophisticated; horses themselves; 
doc3035: Boulonnais; Bovillae; Fraternity; Waukesha; Fréthun; Alba Longa; maternal grandfather; estimated population; newly appointed director; main objectives; mid-20th century; former President; Appomattox Court House; notable figure; strong influence; Lee University; primary purpose; The existence; political science; attended school; 
doc3036: biographies; Kulti; Eisenhower; Boetsch; Schwarzenegger; Philharmonic Orchestra; Royal Philharmonic; Senate Judiciary; Chamber Orchestra; current director; Adlai Stevenson; Majority Leader; Davis Cup; Dwight D; central figure; appointed by the Governor; October 1992; served as the Assistant; released in October; His tenure; 
doc3037: Venuto; Macross; Diamondbacks; Zentradi; Britai's; Di Venuto; Arizona Diamondbacks; extremely negative; negative reviews; negative reviews by critics; English county; highest score; having served; drew the attention; film received; southern tip; situated on the southern tip; human side; considered one; made the switch; 
doc3038: Marseille; urobilinogen; west-northwestward; Ribéry; Sochaux; Center features; Governor Price Daniel; nuclear weapons; Tropical Depression; Ted Mack; flight attendant; 1998–99 season; final match; game-winning goal; straight season; historic church; food processing; Lieutenant General; exhibits about; September 1956; 
doc3039: acknowledgment; crossbreeding; stallions; Massillon; Chichele; continental scholarship; student information system; Finnish horse; postgraduate students; completely replaced; Recurring characters; Puerto Rican; military leaders; thirteenth century; German historian; Insurance Company; earliest years; also president; Harvard School; important works; 
doc3040: density; households; square; population; races; square mile; families residing; population density; average density; African American; Native American; families residing in the city; housing units; racial makeup; Hispanic or Latino; racial makeup of the city; housing units at an average density; other races; more races; Hispanic or Latino of any race; 
doc3041: Pennsylvania; grade; remastered; Springfield; achieved; Pennsylvania Department; showed on grade; studio recording; previously played; live performances; recorded live; Department of Education; beginning in 2012; later released; first version; public schools; had previously; they take; The Who; have one; 
doc3042: Cornish; cellars; livelihoods; vehicle; offence; main occupation; Anglican church; medieval times; originally called; recent times; There must; built along; no attempt; 16th century; there can; dedicated to St; village has; very small; was originally; would not; 
doc3043: Urquhart; Belgae; unstaffed; Germanic; Fires; heavily influenced; unstaffed station house; ALCAP is specified; Infantry Division; specified in 3GPP TS; distinguished from; Southwest Airlines; television presenter; flight attendant; British television; I went; Germanic peoples; assets included; 3GPP TS; wrapped around; 
doc3044: Triassic; asteroid; Italianate-style; remembers; Louie; Middle Triassic; 1st Special Service Force; interesting contrast; hand-to-hand combat; later incorporated; originally intended; The stadium; following decade; Advisory Panel; billion dollars; football matches; research center; Local Government; War Department; staff officer; 
doc3045: assignment; prototype; individual; self-service; Rhinos; Chief of Staff; becoming operational; Distinguished Service Medal; and/or recorded; personal lives; December 1959; An individual; including four; ask questions; support each; rank of lieutenant; major general; single match; While serving; served from March; 
doc3046: pollicis; Rhineland-Palatinate; mathematics; brevis; Students; pollicis brevis; undergraduate students; which functions; encouraged to participate; located here; teams of students; municipality in the district; Best Actress; also located; southern part; Drama Desk; The Life; It is one of the three; held at; their own; 
doc3047: southerners; Revolutionary; Spangler; Sandford; militia; Revolutionary Socialist; neighboring countries; defense contractor; Admiralty Islands; He appeared; finishing fourth; Pet Shop; represented by Democrat; Youth Orchestra; southern Sudan; hundred thousand; techniques such; qualified for the tournament; Martina Hingis; Charlie Chaplin; 
doc3048: Kabbabish; experimental; distribution; Ludlow; pattern; experimental pattern; The Kabbabish; property of the experimental pattern; Israel Ludlow; borrow a pound; fully computerized; covered the song; considered within; French Resistance; committed himself; Germany ratified; Tottenham Hotspur; train movements; Middle Ages; scattered over; 
doc3049: income; median; population; household; families; median income; population were below; city was; household in the city; population were below the poverty; capita income; capita income for the city; poverty line; median income for a household; below the poverty; median income for a family; Males had; those under age 18; family was; Males had a median; 
doc3050: Bolingbroke; Fairchild; Blenheim; censorship; blacklisted; Bolingbroke Mk; Russian Federation; originally intended; website created; These versions; Pirate Party; information about; longer range; According to a website; IP address; also included; This type; which may; A total; May 30; 
doc3051: noun; modifies; adjunct; Contributions; chicken; noun adjunct; tax free cash; only introduced; The characters; often described; characters of the story; The formula; tax relief; case study; lump sum; three times; For example; any other; A small; at any; 
doc3052: Listach; hitter; outfield; He's; Tennessee; on-base percentage; Southern League; He plays; Baseball America; He knows; recurring theme; strong enough; not necessarily; team needs; began the season; knows how; He steals; play the game; He continued; he batted; 
doc3053: immunodeficiency; barbecue; immunity; Capstone; Anderson's; big assumptions; Anderson's work; Koshare Indian Dancers; immunity map; schools worldwide; susceptible to hydrolysis; other traditional; asking questions; 31st anniversary; not doing; first presenter; athletic fields; following awards; Advanced Placement; Southern California; 
doc3054: Ghirlandaio; Ridolfo; Renaissance; Congregational; FLOSS; Ridolfo Ghirlandaio; Italian Renaissance; more especially; other activities; open letter; founded in 1919; 14 February; silver medal; club was founded; Summer Olympics; October 1; most famous; but more; 6 June; In addition; 
doc3055: glycolaldehyde; temperature; theorized; intermediate; hydrogenation; collapse of massive; A particular; One theory; more time; only a few; 
doc3056: Sampaguita; Pictures; Activity; investigator; spirituality; Sampaguita Pictures; principal investigator; construction workers; Athletics Association; Western Province; 2000–01 season; education program; physical education; West Indies; After spending; club cricket; his classic; sports teams; dressed up; there are; 
doc3057: Trolodon; Terexin; Characteristics; furniture; Carlton; communities around; born December; City Council; oldest living; American actress; fourth woman; actress and singer; sports hall; he couldn't; dairy farmer; Village has; film version; central role; December 27; never gets; 
doc3058: Fruitvale; Magyarische; Nikolsburg; Équinoxe; Alwani; Stuttgart and Tübingen; Joseph Smith; different disciplines; non-fiction book; became obvious; produced and released; literary works; films produced; been formally; rabbi and Talmudist; smart growth; Peter Chitty; allowing them; whole thing; As reported; 
doc3059: subitems; Attorney-General; antimicrobial; instantaneous; Maiden; antimicrobial activity; finished product; Bruce Dickinson; also formerly; touring band; During 1993; Iron Maiden; he composed; record deal; band flew; went through; they played; The Roman; early 1990s; they went; 
doc3060: Contemporary; androgynous; Madonna; Specifically; appreciated; The accompanying; previous single; Madonna singing; Adult Contemporary; recording studio; commercial success; number-one hit; singles charts; music video; Best Original; Motion Picture; Grammy Awards; singing the song; number two; Hot 100; 
doc3061: off-year; psychoanalytic; presidential; Mississippi; elections; presidential election; Jersey and Virginia; legislative elections; four-year terms; defend himself; year during; New Jersey; such a degree; He might; later in the year; he had; 
doc3062: Westerbork; cerebral; Jews; transports; palsy; cerebral palsy; advanced techniques; previously mentioned; concentration camps; unarmed combat; being married; September 1944; Poland and Germany; which saved; nine months; 13 September; round up; most important; six to nine; along the way; 
doc3063: hydrochlorothiazide; olmesartan; medoxomil; Rukmani; sidewalk-only; olmesartan medoxomil; medication containing olmesartan medoxomil; Rukmani Devi; Shekhawati region; Ananda Munasinghe; offshore section; Southland Tales; under the trade name; assistant to the director; The offshore; 40� mg of olmesartan medoxomil; his co-pilot; San Francisco; Western Hemisphere; Republican candidate; 
doc3064: grapefruit; benzethonium; antimicrobial; contaminated; chloride; benzethonium chloride; antimicrobial effect; grapefruit seeds; GSE preparations; grapefruit seed extract; Technology Center; antimicrobial activity; Conservative politician; manufacturing process; local level; scientific evidence; analytical methods; originally comes; Sun Microsystems; The preliminary; 
doc3065: Calypso; Arlington; Stapelia; second-youngest; non-therapeutic; electricity generation; her mother; opportunity to participate; The flowers; insurance company; southern section; varying degrees; late substitute; water supplies; negative impact; male children; chemicals can; very successful; Leyton Orient; population of the parish; 
doc3066: Internet-related; governance; Partizan; Internet; non-binding; Internet governance; one-year contract; small percentage; company announced; Saddam Hussein; November 2005; closely related; The station's; wider range; 16 November; October 21; agreed to pay; Two days; day after; days later; 
doc3067: Mantua; Mercurio; Elementary; Martinez; correct; Box Elder; Jersey Monthly; magazine ranked; Bergen County; local leader; Lorenzo Snow; Best Places; The Kingdom; first group; Junior High; New Jersey; their local; High School; 2010 census; his honor; 
doc3068: co-operate; accordance; neighborhoods; mini-album; usages; must co-operate; dissolved in accordance; co-operate if the marriage; Ten Minutes; Cooking in Ten Minutes; Adapting to the Rhythm; marriage is to be dissolved; government continues; also transliterated; demonstrations and protests; successful enough; The Sentimental; historic district; cricket season; South Australian; 
doc3069: Race; Horse; champion; Superior; two-year-old; sex divisions; Superior Race Horse; age and sex divisions; stakes races; year old; three year; total of ten; two year; The three; same way; win over; In addition; there are; from the; 
doc3070: Singleton; consumer; Electronics; revolutionary; kilometre; stores across; retail stores; annual sales; sales in Europe; high risk; South America; be from; A number; There were; which has; there were; has been; from the; 
doc3071: மகத�த�வம�; வாய�ந�த; Emergency; Physicians; editor-in-chief; மகத�த�வம� வாய�ந�த; Emergency Physicians; College of Emergency Physicians; American College; monthly peer-reviewed; official journal; Regular season; University of California; The Annals; its current; was established; It was; 
doc3072: Copperfield; Kentucky; audience; grasping; Congo; international debut; Kentucky Colonels; DR Congo; audience members; fashion similar; Professional career; Track listings; After retiring; Vice President; Lois Lane; 3–1 win; around him; August 2005; 16 August; down into; 
doc3073: festering; Gravahals; automation; Z-factor; Zetta; Gravahals Tunnel; zero Z-factor; need for festering; dramatically increasing; different countries; military officers; including France; association football; graduated from California; tests performed; figure skating; skilled cadre; Therefore she; California State; northern and eastern; 
doc3074: households; square; average; non-families; household; square miles; square mile; Census Bureau; median income; female householder; families residing; population density; husband present; couples living together; average density; households out; average household size; all households; total area; children under; 
doc3075: weeknights; consonant; weekends; tattoo; Dassett; Victorian Legislative; been released; largest producer; Broadcast Centre; his treatment; Legislative Assembly; The surviving; October 1999; political and social; state election; Washington DC; local indie; little about; seven miles; second largest; 
doc3076: Wasserman; Superliga; PTSD; screening; Brøndby; Blunted affect; Danish Superliga; blunted affect; Horse Island; seen in veterans; considered one; often seen; established himself; religious figures; patriotic themes; production of chlorine; international law; low incidence; He established; prime example; 
doc3077: Algoma; Battalion; singlehandedly; burglar; TAFE; Sydney Institute; cat burglar; eventually becoming; Officer Commanding; episode of the HBO; further education; Expeditionary Force; upon themselves; Southern states; Pitchfork Media; education system; becoming part; various points; throughout the series; Public Service; 
doc3078: Test; parliamentary; deliberations; numbers; Parliament; Test debut; The government; Wrestling Federation; Sheffield Shield; These numbers; numbers can; leading role; making his debut; It may; most recent; July 2014; make use; now used; 15 March; made his debut; 
doc3079: Ricci; religious; Foundation; Judiciary; saddened; Croatian language; Western Conference; shopping center; earlier years; San Jose; evolve into; General Assembly; San Jose's; first trip; style of play; while also; team made; when the team; would later; point of view; 
doc3080: Gandak; consumer; Electricity; termination; tributaries; Notable alumni; large range; 2010 there; their local; January 2010; village has; Puerto Rico; or from; from their; from one; which has; at least; they are; 
doc3081: neighborhoods; square; Commencement; Spokane; Lakeland; square miles; Spokane's economy; square mile; median income; Cle Elum; officially incorporated; Pacific Islander; Federal Way; population density; average density; ancestry according; Census Bureau; African American; Natural resources; Köppen Climate Classification; 
doc3082: Fang; infiltrated; apprehended; unspecified; labyrinth; test subjects; northern entrance; second guitarist; Oklahoma Sooners; very personal; population growth; commit suicide; Its population; literacy rate; band around; population density; every 1000; sex ratio; growth rate; joined the band; 
doc3083: Farfa; foundation; Kuomintang's; Limitations; municipality; another municipality; Italian Renaissance; detachments from; residents attended schools outside; residents attended schools outside the municipality; chemical weapons; Imperial troops; Dmitry Medvedev; began planning; Holy Sepulchre; came from another municipality; widely spoken; Infantry Regiment; Bridge across; its principal; 
doc3084: singer-songwriter; Northeastern; synagogues; toughness; Fracture; Northeastern University; American singer-songwriter; Mechanical Engineering; fracture toughness; Jewish communities; more realistic; Eastern Europe; Twilight Zone; continue to exist; which leads; Film critic; born 1966; United States; or its; They were; 
doc3085: red-bellied; signals; expressions; hostility; Observers; red-bellied titi; facial expressions; usually followed; species include; after they; often used; are often; 
doc3086: tamarin; itching; Scalby; Rabari; 5-hydroxytryptamine; seed pods; Additionally there; Operational history; sports facilities; defending champions; small percentage; western limits; After the independence; drainage basin; Saddam Hussein; local populace; studied hard; Station Road; cause severe; winter months; 
doc3087: transaction; Durbin; cents; Reproduction; Detroit; Federal Reserve; 11 seasons; December 11; Detroit Red Wings; – December; Hockey League; February 8; CT scan; most common; ice hockey; The most; In 2003; 
doc3088: Igboland; Donegan; Xaverians; Nigeria; Schecter; 50th Street; originally conceived; religious practices; gained independence; Theater District; Shortly afterwards; station building; something else; being considered; own signature; northwest corner; tenth century; While playing; Station was opened; central area; 
doc3089: figurines; Hummel; collectible; sponsor; Reading; Hummel figurines; State Board; usually translated; soldiers stationed; Board of Education; School District; establishing and operating; community college; translated into English; 38 countries; 1971 meeting; Community College; It refers; West Germany; Board of Directors; 
doc3090: Berowra; Galston; part-time; federal; career-best; Berowra Waters; federal election; country music; Nationalist Party; important player; generally viewed; federal politics; Sergei Prokofiev; Wales Legislative; opening seconds; Legislative Council; members included; opening ceremony; Violin Concerto; Liberal Member; 
doc3091: attractive; refugees; distinguished; Eindhoven; manufactured; similar prices; Clinical significance; military campaigns; attractive than; most attractive; He participated; present at the Battle; least three; should be; them have; than the other; will make; he returned; at its; could have; 
doc3092: intercalary; McKellen; Hancock; Hutchinson; scalability; intercalary years; Grand Master; McKellen appeared; Mexican history; Holyland Tower; steppe nomads; steppe nomads and peoples; St Martin-in-the-Fields; Asian Avars; two countries; unsuccessful attempts; entertainment industry; bilateral diplomatic; Additional musicians; usually accompanied; 
doc3093: Acquisitions; dentistry; Français; bachelor's; Cairo; speaks Arabic; received a bachelor's; Brad Bellick; actress and singer; University of Illinois; He described; Athlete of the Year; He went; In 2003; was named; more than; 
doc3094: Ōminato; clocks; portfolio; Tompion's; overnight; Championships in Athletics; relative to the subject; light source; photographs depicting; quarter-final stage; strategic importance; each cell; television stations; breeding grounds; highly degraded; accurate record; his photographs; The acquisition; African record; full-length album; 
doc3095: Björkö; Ansgar; Beyoncé's; Territories; archbishop; million copies; copies worldwide; New Territories; Sasha Fierce; providing opportunities; become increasingly; individual patient; seven consecutive; think critically; probably best remembered; expressed concern; slight majority; against him; consecutive weeks; 200 chart; 
doc3096: McCabe-Powers; arrondissement; Beekeeping; distortion; triode-connected; Telecommunications Commission; Radio-television and Telecommunications; Canadian Radio-television; most significant; government offices; residential buildings; Broadway production; five performances; Theater District; This eventually; George Gershwin; Discovery Kids; supporting roles; motor vehicles; higher powers; 
doc3097: Itamar; community's; instrumentation; Paper; Tiger; Paper Tiger; Australian market; kilometers east; Jewish community; press release; possession of the ball; moved with his family; end zone; which one; their new; his family; his wife; more than; was not; 
doc3098: holodeck; Sherlock; Moriarty; Pulaski; Holmes; Sherlock Holmes; takes control; public domain; taking over; trap him; The first; was one; from the; 
doc3099: pulmonary; escapee; Morehead; Fishhook; Scientologists; pulmonary artery; purpose of mining; New Jersey; first successful; be confidential; companies were created; Another method; The executive; Francisco Giants; train stations; standard gauge; sometimes called; goods traffic; The company; two companies; 
doc3100: cross-border; bogies; superintendent; foundation; traffic; teacher's certificate; knowledge exchange; Catholic University; year transferred; The train; transferred to the University; after one year transferred; December 1994; Science degree; dock worker; Summit of the Americas; designed for use; final stage; glass door; The wheels; 
doc3101: households; females; population; Papermakers; pass-through; every 100 females; The unincorporated; population was spread; there were; town the population; town the population was spread; 65 years; unincorporated communities; square mile; age or older; median age; spread out; 65 years of age or older; female householder; every 100 females age 18; 
doc3102: Asrani; picturised; Rajesh; Hrishikesh; Kishore; Rajesh Khanna; Hrishikesh Mukherjee; Virgin Media; Hamare Tumhare; picturised on Asrani; Taaza Khabar; Balika Badhu; Kishore Kumar; Dirty Harry; close friends; March 2007; supporting character; National Consumer; critically acclaimed; various occasions; 
doc3103: Ballyshannon; districts; sanitary; Guardians; Logitech; rural districts; Ballyshannon No; sanitary districts; Logitech Media Server; plural voting; propose to abolish; Local Government; Rural District; scripting languages; ex officio; administrative area; logging industry; three counties; Marcus Garvey; May 1940; 
doc3104: comparative; undergraduate; Atacama; Responsibility; Rostov-on-Don; comparative religion; well as comparative religion; undergraduate programs; partnership comprising; transport aircraft; festive occasions; which apparently; drapery business; Russian soldiers; department store; supplies and ammunition; soldiers during; old traditions; singing voice; Central Asian; 
doc3105: Andrews; Auditorium; Niihau; scrimmage; Falcons; Buffalo Memorial Auditorium; ice surface; one-room schoolhouse; Christopher's School; whenever possible; political history; American University; modern amenities; Laurence Olivier; unincorporated community; game-winning goal; air conditioning; invited guests; American lawyer; international law; 
doc3106: red-headed; Michael; trumpet'; trumpet; instrument; international representatives; Hayes tells; cultural traditions; musical instrument; Sheffield Eagles; mid-20th century; royal marriage; post-punk band; authored books; Richard Thomas; In 2008–2009; The forewings; He campaigned; Michael Jackson; The conversion; 
doc3107: Cash; trumpets; Livin'; accompanied; Netherlands; greatest success; album reached; After hearing; singles chart; reached number; which was released a year later; October 2006; you don't; reached No; The song's; second and last; peaking at No; 21 October; two disc; single from the album; 
doc3108: Hawthorne; Measham; Valérian; Schreiber; Grunwick; El Muerto; Javier Hernandez; Valérian and Laureline; Dead One; Hawthorne High; Intel Science Talent Search; Lord Widgery; geographical relationship; California State; High School; All-America honors; provincial electoral; Sergei Prokofiev; Film Festival; Martin Scorsese; 
doc3109: Führer-Reserve; unemployed; Sanda; competitions; Chattar; skaters representing; Mixed Martial Arts competitions; Sanda fighters; highway in Thailand; Treasure Island Ave; People might; Mixed Martial; Figure Skating; equivalent competition; eventually abandoned; Porte des Lilas; because they; notable competitors; although they; cannot get; 
doc3110: Nerguizian; Szumowski; Obsession; Indecent; O'Donnell; Indecent Obsession; separate levels; Monks Mound; station remained; Mushroom Records; Himachal Pradesh; cable companies; since expanded; Jack Kerouac's; July 2012; four separate; mining towns; cover versions; music industry; which has four separate; 
doc3111: daughter-in-law; householder; German-language; Entertainment; grandfather; square miles; median income; paternal grandfather; maternal grandfather; border crossings; television special; Sony Music Entertainment; company announced; railway stations; male householder; Charlie Brown; female householder; now operated; His maternal; Early usage; 
doc3112: Rudra; identification; Allahabad; inscriptions; inscription; some parts; Work began; June 2010; there are; site of the old; Sri Lanka; May 2010; which was; they have; In some; In 2010; has also; He has; 
doc3113: Gottselig; Rajouri; Bundesliga; Middlesex; agonist; International relations; Trap Door Spiders; bird species; introduced species; volunteer company; achieve promotion; economic models; species include; return voyage; Dnieper River; Bayern Munich; muster rolls; 12 companies; Solomon Islands; three German; 
doc3114: synchronization; Charlottesville; Godrej; projected; Crush; important churches; higher elevations; including several; only performed; be different; The heaviest; its entirety; heavy snow; real time; 3/4� inch; Great Lakes; many areas; North Carolina; most important; came down; 
doc3115: corporations; concessions; multinational; counter-clockwise; Chaluka; multinational corporations; Cyclone Agni; according to RSMC; George Pal; computer networking; developing countries; Development Center; political system; same latitude; The college's; Tropical Storm; local populace; December 2001; developed into; also housed; 
doc3116: siege-engine; Taschereau; Uniform; woodland; Kramer; fundamentally different; Jean-Thomas Taschereau; Northwestern University; genetic information; Publishing history; under-21 football; Type III; molecular biology; tropical and subtropical; living organisms; television station; young children; older children; major economic; economic impact; 
doc3117: jurisdictions; income; taxable; Bohemia; scientist; evil organization; death ray; taxable income; Bart Fargo; More particularly; deciding vote; Otakar II of Bohemia; net income; go on vacation; Otakar II; war against; her house; his boss; which can; took part; 
doc3118: Tullibardine; Huntingtower; vetoed; coastguard; Appalachia; Murray joined; training centre; father's wishes; taken captive; 1975 Congress; coal industry; Gerald Ford; Jimmy Carter; South Uist; age of eighteen; 1974 and 1975; sent him; them out; August 3; even more; 
doc3119: Gabriel; centralized; constituent; Carolinas; Anniversary; affiliated to the University; been promoted; Atlantic Coast; affiliated to the University of Madras; The institute; inducted into the College Football Hall; The Atlantic; Football Hall; until 2001; inducted into; be listed; year of 2009; After a brief; among the top; Tamil Nadu; 
doc3120: Universidade; Schimmelpenninck; Marown; Badminton; Budyonny; Universidade de Lisboa; Polish-Bolshevik War; members of the Isle; Cricket Association; members of the Isle of Man; further elevated; commanding officer; Infantry Division; online gaming; established in 1815; Memory Stick; The Netherlands; first company; Kingdom of the Netherlands; He was further elevated; 
doc3121: bandwidth; quantification; Mercator-Professur; controllers; Relative; Relative quantification; LRT station; children's programming; its button; January 1943; Lieutenant Commander; most distinguished; various functions; expression levels; easternmost point; air conditioned; player controls; game requires; Indiana Jones; The important; 
doc3122: lightning; pavements; thwarted; MacRobertson; Uiver; after independence; especially after; alternate route; Pacific Railroad; parallel lines; studded tires; California State; struck by lightning; needed funds; minor damage; traffic flows; Union Pacific; Sierra Nevada; been proven; Donner Pass; 
doc3123: Grosso; Mato; MOLCAS; Paraguay; northern; Mato Grosso; excited states; northern and eastern; Santa Cruz; A second; A major; The main; 
doc3124: Jarmusch; intersection; Arcade; dilapidated; snowstorm; different characters; After arriving; Muddy Waters; city during; train station; would later; you know; He would; was one; so many; 
doc3125: master’s; Moondragon; Quidditch; Kangaroos; Stewart's; Canadian Association; master’s programs; passenger vehicles; differential speed limits; speaking voice; social work; Saint Kilda; Jack's mind; Social Work; White House; health professional; originally broadcast; protested against; well coordinated; competitive goal; 
doc3126: Connecticut; singer-songwriter; renomination; Roughriders; Blackstone; central Massachusetts; unsuccessful candidate; presidential elector; serving from March 4; Republican candidate; promotional single; Galactic Rangers; sparsely populated; franchise history; Seattle Seahawks; divide between; She released; Chicago Bears; flowing into; greatest hits; 
doc3127: trimount; vert; Pan-Hellenic; violation; Examinations; Mechanical Engineering; worried about; Film Festival; coat of arms; rather than; I Am; A new; more than; or the; has been; from the; 
doc3128: Gindi; state's; archaeological; Register; participation; National Register; archaeological sites; The store; historic buildings; original store; heavily damaged; Trade Center; company was founded; during and after; 80 percent; September 11; 11 attacks; area has; The company; located at; 
doc3129: WinPopup; DeVitto; potential; modeling; barrier; potential barrier; played violin; transmitted through; Professional career; text messages; she realized; From that point; pursue a career; 2004 album; she played; her career; also played; which she; can do; She also; 
doc3130: Faroese; Defenders; Stingray; Faroes; Guinea-Bissau; important economic; traditional sense; mainly because; becoming one; famous work; The Danish; way to becoming; 12 February; joined up; The plans; Cape Verde; 7 December; his sole; sense of the word; most important; 
doc3131: mitigation; community’s; vulnerability; turbine; compressor; mitigation initiatives; turbine corrected; vulnerability assessment; enthalpy drop/inlet; hazard mitigation; vulnerability to hazards; used to estimate the turbine; northern entrance; railway industry; horseback riding; State Road; commune located; better contract; Upper Peninsula; Natural Resources; 
doc3132: Wellington; Residential; brothers'; Robert's; tournaments; Wellington Street; which doubled; capital city; late 1970s; In 1893; came from; took over; also used; was named; It has; 
doc3133: Slade; Clair; introductions; campaigns; communications; marketing communications; private companies; graphic design; original name; public and private; through their; Media Group; family name; located near; The name; James T; way up; The station; was called; named after; 
doc3134: representations; bestselling; Transmission; possibilities; schizophrenia; compilation albums; qualifying round; supporting roles; information about; first European; film was directed; Judd Hirsch; UEFA Europa; film based; each type; second leg; film stars; based on the life; The film; This song; 
doc3135: al-Dawla; snowboard; Tech’s; Busfeild; subjects; religious drama; pressure input; Lib Tech’s; Eight Mile Plains; each truck; aircraft production; axles on each truck; Online Journalism; wheel arrangement; England Primary; The introduction; contemporary art; society began; mystery plays; Space Shuttle; 
doc3136: combination; Dębski; grounds; Sievers; three-dimensional; combination of numbers; right-arm fast-medium; government buildings; tourist attractions; first-class cricket; been implemented; honorary Doctor; spread throughout; each contestant; National Medal; state agencies; state government; special award; he received; started working; 
doc3137: corvette; immersion; Pupil's; hospitalization; chief-of-staff; immersion program; currently resides; America's oldest; American Association; Margaret Thatcher; foreign countries; second album; construction at; Imperial Japanese; Deputy Director; promoted to lieutenant; National Center; notation can; world's largest; policy making; 
doc3138: Will's; verify; Evangelist; accounts; Bible; verify that the unit; US military; Assistance Program; oral tradition; university in the world; He continues; reaches out; travel the world; whole world; best friend; spoil of war; He goes; or have; High School; The most; 
doc3139: Kubler; 'phone-in; Senegalese; Howitzer; education; education system; successful completion; eastern boundary; The curriculum; only surviving; also winning; Giro d'Italia; early stage; early morning; This resulted; second year; stage win; over nine; late night; less time; 
doc3140: Towneley's; Texian; Wallace; Barberini; harmony; Solar Federation; Sean Combs; financial difficulties; historians believe; his contemporaries; military campaign; rendered useless; easily disproved; Shrapnel Records; These composers; self-titled debut; commits suicide; self-titled debut album was released; different parts; its follow-up; 
doc3141: pre-school; Verlander; Aref; Krekar; IMK; terrorist organization; pre-school care; Mullah Krekar; primary school; other destinations; daughter of John; requires students; Construction began; Islamic Movement; The arrangement; Cleveland Indians; starting pitcher; IMK job; right shoulder; Windows Server; 
doc3142: communications; Woking; subsidiary; Maceo; congresses; rehabilitation centers; Democratic National Convention; director of communications; Midland Counties; two-part single; delegate to the Democratic National Convention; Counties Railway; been repeated; December 1997; deputy chairman; delegate to the Democratic; The experience; sound effects; town square; offices are located; 
